date,close_price,signal,position,cash,portfolio_value,unrealized_pnl,realized_pnl,volatility_percentile,asset_volatility,drawdown_breach,days_since_signal,returns,cumulative_returns,drawdown
2022-08-22,315.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,5,0.0,0.01915530326500936,-0.0051215145713638015
2022-08-24,300.0,0,0.0,1019155.3032650095,1019155.3032650095,0.0,0.0,33.69565217391305,0.5,False,6,0.0,0.01915530326500936,-0.0051215145713638015
2022-09-06,299.0,-1,-71286.0779326762,1012023.1311678453,1019155.3032650095,0.0,0.0,92.47311827956989,0.5,False,0,0.0,0.01915530326500936,-0.0051215145713638015
2022-09-21,296.8,-1,-71286.0779326762,1012023.1311678453,1012547.644115845,524.5129479996215,0.0,92.47311827956989,0.5,False,1,-0.00648346638436359,0.012547644115844747,-0.011571775788166924
2022-09-30,313.0,-1,-71286.0779326762,1012023.1311678453,1008685.3214987568,-3337.8096690885177,0.0,92.47311827956989,0.5,False,2,-0.003814460128896746,0.00868532149875656,-0.015342095839699163
2022-10-07,277.0,0,0.0,1024393.3041372126,1017268.2606478416,5245.129479996242,5245.129479996242,68.08510638297872,0.5,False,0,0.008509035440638524,0.01726826064784137,-0.006963606836294249
2022-10-12,270.0,0,0.0,1024393.3041372126,1024393.3041372126,0.0,0.0,68.08510638297872,0.5,False,1,0.007004094952135276,0.024393304137212413,-8.28564764973423e-06
2022-11-02,288.0,1,39627.84623899217,1020428.5381210014,1024393.3041372126,0.0,0.0,23.157894736842106,0.5,False,0,0.0,0.024393304137212413,-8.28564764973423e-06
2022-11-10,290.0,1,39627.84623899217,1020428.5381210014,1020703.7314976611,275.1933766596678,0.0,23.157894736842106,0.5,False,1,-0.0036017149122806735,0.020703731497661026,-0.003609970717389719
2022-11-22,272.0,1,39627.84623899217,1020428.5381210014,1018226.9911077241,-2201.5470132773426,0.0,23.157894736842106,0.5,False,2,-0.0024265027289582797,0.018226991107723967,-0.006027713842550773
2022-11-29,290.8,1,39627.84623899217,1020428.5381210014,1020813.8088483249,385.2707273235365,0.0,23.157894736842106,0.5,False,3,0.002540511853635463,0.020813808848324733,-0.0035025154673825887
2022-11-30,291.8,1,39627.84623899217,1020428.5381210014,1020951.4055366549,522.8674156533705,0.0,23.157894736842106,0.5,False,4,0.00013479117066927948,0.020951405536654866,-0.003368196404873534
2023-01-19,305.0,-1,-106388.92690299095,1016076.9720788946,1022767.6818226086,2339.1437016071764,0.0,83.50515463917526,0.5,False,0,0.00177900365884609,0.022767681822608576,-0.0015951847797554888
2023-01-27,278.0,-1,-106388.92690299095,1016076.9720788946,1025495.0082309627,9418.03615206805,0.0,83.50515463917526,0.5,False,1,0.0026666137939497236,0.025495008230962624,0.0
2023-01-30,278.0,-1,-106388.92690299095,1016076.9720788946,1025495.0082309627,9418.03615206805,0.0,83.50515463917526,0.5,False,2,0.0,0.025495008230962624,0.0
2023-02-03,312.0,0,0.0,1024268.8322463864,1013635.2590024326,-2441.7130764620874,-2441.7130764620874,58.16326530612245,0.5,False,0,-0.011564901957922591,0.013635259002432454,-0.011564901957922586
2023-02-15,312.0,0,0.0,1024268.8322463864,1024268.8322463864,0.0,0.0,58.16326530612245,0.5,False,1,0.010490532121405272,0.02426883224638643,-0.0011956918119879019
2023-02-21,291.0,0,0.0,1024268.8322463864,1024268.8322463864,0.0,0.0,58.16326530612245,0.5,False,2,0.0,0.02426883224638643,-0.0011956918119879019
2023-02-22,294.0,0,0.0,1024268.8322463864,1024268.8322463864,0.0,0.0,58.16326530612245,0.5,False,3,0.0,0.02426883224638643,-0.0011956918119879019
2023-02-23,312.0,0,0.0,1024268.8322463864,1024268.8322463864,0.0,0.0,58.16326530612245,0.5,False,4,0.0,0.02426883224638643,-0.0011956918119879019
2023-03-01,292.0,-1,-76820.16241847898,1016582.9749964176,1024268.8322463864,0.0,0.0,95.95959595959596,0.5,False,0,0.0,0.02426883224638643,-0.0011956918119879019
2023-05-10,317.0,-1,-76820.16241847898,1016582.9749964176,1010005.9062962054,-6577.068700212241,0.0,84.15841584158416,0.5,False,1,-0.0139249828767124,0.010005906296205236,-0.015104024700692498
2023-07-13,320.0,-1,-76820.16241847898,1016582.9749964176,1009216.65805218,-7366.31694423771,0.0,87.37864077669903,0.5,False,2,-0.000781429335319106,0.00921665805217975,-0.01587365130802908
2023-07-25,330.0,-1,-76820.16241847898,1016582.9749964176,1006585.830572095,-9997.144424322607,0.0,87.37864077669903,0.5,False,3,-0.0026068014822134833,0.00658583057209472,-0.01843907333248465
